modelo;tipo_grade;N;execucao;voxel_size;nx;ny;nz;total;occupied;empty;density;octree_nodes;leaves_full;leaves_empty;max_depth;t_oct;delta_rss_oct;compression
Armadillo;Justa;25;1;6,0529;21;26;21;11466;1418;10048;0,1237;5121;1070;3411;5;0,00244;0,44;0,4466
Armadillo;Justa;25;2;6,0529;21;26;21;11466;1418;10048;0,1237;5121;1070;3411;5;0,00223;0,39;0,4466
Armadillo;Justa;25;3;6,0529;21;26;21;11466;1418;10048;0,1237;5121;1070;3411;5;0,00388;0,34;0,4466
Armadillo;Justa;25;4;6,0529;21;26;21;11466;1418;10048;0,1237;5121;1070;3411;5;0,00234;0,38;0,4466
Armadillo;Justa;25;5;6,0529;21;26;21;11466;1418;10048;0,1237;5121;1070;3411;5;0,00205;0,32;0,4466
Armadillo;Justa;25;6;6,0529;21;26;21;11466;1418;10048;0,1237;5121;1070;3411;5;0,00270;0,43;0,4466
Armadillo;Justa;25;7;6,0529;21;26;21;11466;1418;10048;0,1237;5121;1070;3411;5;0,00311;0,57;0,4466
Armadillo;Justa;25;8;6,0529;21;26;21;11466;1418;10048;0,1237;5121;1070;3411;5;0,00370;0,40;0,4466
Armadillo;Justa;25;9;6,0529;21;26;21;11466;1418;10048;0,1237;5121;1070;3411;5;0,00194;0,30;0,4466
Armadillo;Justa;25;10;6,0529;21;26;21;11466;1418;10048;0,1237;5121;1070;3411;5;0,00291;0,36;0,4466
Armadillo;Justa;50;1;3,0264;43;51;39;85527;5789;79738;0,0677;20753;4362;13797;6;0,00812;1,42;0,2426
Armadillo;Justa;50;2;3,0264;43;51;39;85527;5789;79738;0,0677;20753;4362;13797;6;0,00842;1,33;0,2426
Armadillo;Justa;50;3;3,0264;43;51;39;85527;5789;79738;0,0677;20753;4362;13797;6;0,00824;1,59;0,2426
Armadillo;Justa;50;4;3,0264;43;51;39;85527;5789;79738;0,0677;20753;4362;13797;6;0,00776;1,34;0,2426
Armadillo;Justa;50;5;3,0264;43;51;39;85527;5789;79738;0,0677;20753;4362;13797;6;0,00831;1,59;0,2426
Armadillo;Justa;50;6;3,0264;43;51;39;85527;5789;79738;0,0677;20753;4362;13797;6;0,00830;1,35;0,2426
Armadillo;Justa;50;7;3,0264;43;51;39;85527;5789;79738;0,0677;20753;4362;13797;6;0,00798;1,46;0,2426
Armadillo;Justa;50;8;3,0264;43;51;39;85527;5789;79738;0,0677;20753;4362;13797;6;0,00829;1,58;0,2426
Armadillo;Justa;50;9;3,0264;43;51;39;85527;5789;79738;0,0677;20753;4362;13797;6;0,00847;1,47;0,2426
Armadillo;Justa;50;10;3,0264;43;51;39;85527;5789;79738;0,0677;20753;4362;13797;6;0,00840;1,46;0,2426
Armadillo;Justa;100;1;1,5132;85;101;77;661045;21934;639111;0,0332;87449;17285;59233;7;0,03494;6,08;0,1323
Armadillo;Justa;100;2;1,5132;85;101;77;661045;21934;639111;0,0332;87449;17285;59233;7;0,03555;6,29;0,1323
Armadillo;Justa;100;3;1,5132;85;101;77;661045;21934;639111;0,0332;87449;17285;59233;7;0,03320;6,28;0,1323
Armadillo;Justa;100;4;1,5132;85;101;77;661045;21934;639111;0,0332;87449;17285;59233;7;0,03606;6,25;0,1323
Armadillo;Justa;100;5;1,5132;85;101;77;661045;21934;639111;0,0332;87449;17285;59233;7;0,03346;6,24;0,1323
Armadillo;Justa;100;6;1,5132;85;101;77;661045;21934;639111;0,0332;87449;17285;59233;7;0,03319;6,28;0,1323
Armadillo;Justa;100;7;1,5132;85;101;77;661045;21934;639111;0,0332;87449;17285;59233;7;0,03655;6,26;0,1323
Armadillo;Justa;100;8;1,5132;85;101;77;661045;21934;639111;0,0332;87449;17285;59233;7;0,03446;6,21;0,1323
Armadillo;Justa;100;9;1,5132;85;101;77;661045;21934;639111;0,0332;87449;17285;59233;7;0,03386;6,23;0,1323
Armadillo;Justa;100;10;1,5132;85;101;77;661045;21934;639111;0,0332;87449;17285;59233;7;0,03452;6,22;0,1323
Armadillo;Justa;200;1;0,7566;169;201;153;5197257;88110;5109147;0,0170;359033;69664;244490;8;0,13810;24,55;0,0691
Armadillo;Justa;200;2;0,7566;169;201;153;5197257;88110;5109147;0,0170;359033;69664;244490;8;0,13473;26,03;0,0691
Armadillo;Justa;200;3;0,7566;169;201;153;5197257;88110;5109147;0,0170;359033;69664;244490;8;0,13576;25,85;0,0691
Armadillo;Justa;200;4;0,7566;169;201;153;5197257;88110;5109147;0,0170;359033;69664;244490;8;0,14910;25,81;0,0691
Armadillo;Justa;200;5;0,7566;169;201;153;5197257;88110;5109147;0,0170;359033;69664;244490;8;0,13482;25,88;0,0691
Armadillo;Justa;200;6;0,7566;169;201;153;5197257;88110;5109147;0,0170;359033;69664;244490;8;0,13538;25,75;0,0691
Armadillo;Justa;200;7;0,7566;169;201;153;5197257;88110;5109147;0,0170;359033;69664;244490;8;0,13427;25,91;0,0691
Armadillo;Justa;200;8;0,7566;169;201;153;5197257;88110;5109147;0,0170;359033;69664;244490;8;0,14801;25,75;0,0691
Armadillo;Justa;200;9;0,7566;169;201;153;5197257;88110;5109147;0,0170;359033;69664;244490;8;0,13595;25,81;0,0691
Armadillo;Justa;200;10;0,7566;169;201;153;5197257;88110;5109147;0,0170;359033;69664;244490;8;0,13447;25,79;0,0691
Armadillo;Justa;400;1;0,3783;337;401;307;41487059;351913;41135146;0,0085;1447689;280117;986611;9;0,63366;103,74;0,0349
Armadillo;Justa;400;2;0,3783;337;401;307;41487059;351913;41135146;0,0085;1447689;280117;986611;9;0,54640;105,30;0,0349
Armadillo;Justa;400;3;0,3783;337;401;307;41487059;351913;41135146;0,0085;1447689;280117;986611;9;0,55497;105,12;0,0349
Armadillo;Justa;400;4;0,3783;337;401;307;41487059;351913;41135146;0,0085;1447689;280117;986611;9;0,59751;105,22;0,0349
Armadillo;Justa;400;5;0,3783;337;401;307;41487059;351913;41135146;0,0085;1447689;280117;986611;9;1,58766;105,51;0,0349
Armadillo;Justa;400;6;0,3783;337;401;307;41487059;351913;41135146;0,0085;1447689;280117;986611;9;0,54657;105,57;0,0349
Armadillo;Justa;400;7;0,3783;337;401;307;41487059;351913;41135146;0,0085;1447689;280117;986611;9;0,55081;105,47;0,0349
Armadillo;Justa;400;8;0,3783;337;401;307;41487059;351913;41135146;0,0085;1447689;280117;986611;9;1,82597;105,77;0,0349
Armadillo;Justa;400;9;0,3783;337;401;307;41487059;351913;41135146;0,0085;1447689;280117;986611;9;0,54733;105,75;0,0349
Armadillo;Justa;400;10;0,3783;337;401;307;41487059;351913;41135146;0,0085;1447689;280117;986611;9;0,63873;105,69;0,0349
Armadillo;Cubica;25;1;6,0529;25;25;25;15625;1407;14218;0,0900;4561;1117;2874;5;0,00193;0,00;0,2919
Armadillo;Cubica;25;2;6,0529;25;25;25;15625;1407;14218;0,0900;4561;1117;2874;5;0,00169;0,00;0,2919
Armadillo;Cubica;25;3;6,0529;25;25;25;15625;1407;14218;0,0900;4561;1117;2874;5;0,00157;0,00;0,2919
Armadillo;Cubica;25;4;6,0529;25;25;25;15625;1407;14218;0,0900;4561;1117;2874;5;0,00154;0,00;0,2919
Armadillo;Cubica;25;5;6,0529;25;25;25;15625;1407;14218;0,0900;4561;1117;2874;5;0,00156;0,00;0,2919
Armadillo;Cubica;25;6;6,0529;25;25;25;15625;1407;14218;0,0900;4561;1117;2874;5;0,00178;0,00;0,2919
Armadillo;Cubica;25;7;6,0529;25;25;25;15625;1407;14218;0,0900;4561;1117;2874;5;0,00169;0,00;0,2919
Armadillo;Cubica;25;8;6,0529;25;25;25;15625;1407;14218;0,0900;4561;1117;2874;5;0,00207;0,00;0,2919
Armadillo;Cubica;25;9;6,0529;25;25;25;15625;1407;14218;0,0900;4561;1117;2874;5;0,00159;0,00;0,2919
Armadillo;Cubica;25;10;6,0529;25;25;25;15625;1407;14218;0,0900;4561;1117;2874;5;0,00160;0,00;0,2919
Armadillo;Cubica;50;1;3,0264;50;50;50;125000;5773;119227;0,0462;18697;4668;11692;6;0,00749;0,00;0,1496
Armadillo;Cubica;50;2;3,0264;50;50;50;125000;5773;119227;0,0462;18697;4668;11692;6;0,00681;-0,00;0,1496
Armadillo;Cubica;50;3;3,0264;50;50;50;125000;5773;119227;0,0462;18697;4668;11692;6;0,00661;0,00;0,1496
Armadillo;Cubica;50;4;3,0264;50;50;50;125000;5773;119227;0,0462;18697;4668;11692;6;0,00771;0,00;0,1496
Armadillo;Cubica;50;5;3,0264;50;50;50;125000;5773;119227;0,0462;18697;4668;11692;6;0,00691;0,00;0,1496
Armadillo;Cubica;50;6;3,0264;50;50;50;125000;5773;119227;0,0462;18697;4668;11692;6;0,00737;0,00;0,1496
Armadillo;Cubica;50;7;3,0264;50;50;50;125000;5773;119227;0,0462;18697;4668;11692;6;0,00674;0,03;0,1496
Armadillo;Cubica;50;8;3,0264;50;50;50;125000;5773;119227;0,0462;18697;4668;11692;6;0,00674;0,00;0,1496
Armadillo;Cubica;50;9;3,0264;50;50;50;125000;5773;119227;0,0462;18697;4668;11692;6;0,00738;0,00;0,1496
Armadillo;Cubica;50;10;3,0264;50;50;50;125000;5773;119227;0,0462;18697;4668;11692;6;0,00662;0,00;0,1496
Armadillo;Cubica;100;1;1,5132;100;100;100;1000000;21902;978098;0,0219;79361;18697;50744;7;0,03020;0,24;0,0794
Armadillo;Cubica;100;2;1,5132;100;100;100;1000000;21902;978098;0,0219;79361;18697;50744;7;0,03097;0,02;0,0794
Armadillo;Cubica;100;3;1,5132;100;100;100;1000000;21902;978098;0,0219;79361;18697;50744;7;0,02922;0,01;0,0794
Armadillo;Cubica;100;4;1,5132;100;100;100;1000000;21902;978098;0,0219;79361;18697;50744;7;0,03128;0,00;0,0794
Armadillo;Cubica;100;5;1,5132;100;100;100;1000000;21902;978098;0,0219;79361;18697;50744;7;0,03431;0,00;0,0794
Armadillo;Cubica;100;6;1,5132;100;100;100;1000000;21902;978098;0,0219;79361;18697;50744;7;0,02862;-0,00;0,0794
Armadillo;Cubica;100;7;1,5132;100;100;100;1000000;21902;978098;0,0219;79361;18697;50744;7;0,02904;0,00;0,0794
Armadillo;Cubica;100;8;1,5132;100;100;100;1000000;21902;978098;0,0219;79361;18697;50744;7;0,03089;0,02;0,0794
Armadillo;Cubica;100;9;1,5132;100;100;100;1000000;21902;978098;0,0219;79361;18697;50744;7;0,02981;0,01;0,0794
Armadillo;Cubica;100;10;1,5132;100;100;100;1000000;21902;978098;0,0219;79361;18697;50744;7;0,02972;0,05;0,0794
Armadillo;Cubica;200;1;0,7566;200;200;200;8000000;88051;7911949;0,0110;328761;75499;212167;8;0,23432;0,02;0,0411
Armadillo;Cubica;200;2;0,7566;200;200;200;8000000;88051;7911949;0,0110;328761;75499;212167;8;1,12618;0,13;0,0411
Armadillo;Cubica;200;3;0,7566;200;200;200;8000000;88051;7911949;0,0110;328761;75499;212167;8;0,56174;0,05;0,0411
Armadillo;Cubica;200;4;0,7566;200;200;200;8000000;88051;7911949;0,0110;328761;75499;212167;8;0,11732;0,10;0,0411
Armadillo;Cubica;200;5;0,7566;200;200;200;8000000;88051;7911949;0,0110;328761;75499;212167;8;0,11703;0,14;0,0411
Armadillo;Cubica;200;6;0,7566;200;200;200;8000000;88051;7911949;0,0110;328761;75499;212167;8;0,13036;0,09;0,0411
Armadillo;Cubica;200;7;0,7566;200;200;200;8000000;88051;7911949;0,0110;328761;75499;212167;8;0,11656;0,00;0,0411
Armadillo;Cubica;200;8;0,7566;200;200;200;8000000;88051;7911949;0,0110;328761;75499;212167;8;0,12907;23,59;0,0411
Armadillo;Cubica;200;9;0,7566;200;200;200;8000000;88051;7911949;0,0110;328761;75499;212167;8;0,13862;0,49;0,0411
Armadillo;Cubica;200;10;0,7566;200;200;200;8000000;88051;7911949;0,0110;328761;75499;212167;8;0,11712;0,20;0,0411
Armadillo;Cubica;400;1;0,3783;400;400;400;64000000;351889;63648111;0,0055;1329217;303263;859802;9;0,60272;95,77;0,0208
Armadillo;Cubica;400;2;0,3783;400;400;400;64000000;351889;63648111;0,0055;1329217;303263;859802;9;3,59157;41,75;0,0208
Armadillo;Cubica;400;3;0,3783;400;400;400;64000000;351889;63648111;0,0055;1329217;303263;859802;9;0,49433;35,97;0,0208
Armadillo;Cubica;400;4;0,3783;400;400;400;64000000;351889;63648111;0,0055;1329217;303263;859802;9;0,58273;34,65;0,0208
Armadillo;Cubica;400;5;0,3783;400;400;400;64000000;351889;63648111;0,0055;1329217;303263;859802;9;0,58565;41,20;0,0208
Armadillo;Cubica;400;6;0,3783;400;400;400;64000000;351889;63648111;0,0055;1329217;303263;859802;9;3,61615;40,69;0,0208
Armadillo;Cubica;400;7;0,3783;400;400;400;64000000;351889;63648111;0,0055;1329217;303263;859802;9;0,50130;40,42;0,0208
Armadillo;Cubica;400;8;0,3783;400;400;400;64000000;351889;63648111;0,0055;1329217;303263;859802;9;0,49085;34,07;0,0208
Armadillo;Cubica;400;9;0,3783;400;400;400;64000000;351889;63648111;0,0055;1329217;303263;859802;9;0,49890;36,29;0,0208
Armadillo;Cubica;400;10;0,3783;400;400;400;64000000;351889;63648111;0,0055;1329217;303263;859802;9;2,59640;97,09;0,0208
Buda;Justa;25;1;6,0400;11;26;11;3146;1070;2076;0,3401;3313;602;2297;5;0,00132;0,00;1,0531
Buda;Justa;25;2;6,0400;11;26;11;3146;1070;2076;0,3401;3313;602;2297;5;0,00109;0,00;1,0531
Buda;Justa;25;3;6,0400;11;26;11;3146;1070;2076;0,3401;3313;602;2297;5;0,00115;0,00;1,0531
Buda;Justa;25;4;6,0400;11;26;11;3146;1070;2076;0,3401;3313;602;2297;5;0,00108;0,00;1,0531
Buda;Justa;25;5;6,0400;11;26;11;3146;1070;2076;0,3401;3313;602;2297;5;0,00108;0,00;1,0531
Buda;Justa;25;6;6,0400;11;26;11;3146;1070;2076;0,3401;3313;602;2297;5;0,00111;0,00;1,0531
Buda;Justa;25;7;6,0400;11;26;11;3146;1070;2076;0,3401;3313;602;2297;5;0,00108;0,00;1,0531
Buda;Justa;25;8;6,0400;11;26;11;3146;1070;2076;0,3401;3313;602;2297;5;0,00108;0,00;1,0531
Buda;Justa;25;9;6,0400;11;26;11;3146;1070;2076;0,3401;3313;602;2297;5;0,00108;0,00;1,0531
Buda;Justa;25;10;6,0400;11;26;11;3146;1070;2076;0,3401;3313;602;2297;5;0,00108;0,00;1,0531
Buda;Justa;50;1;3,0200;22;51;22;24684;4523;20161;0,1832;20073;2985;14579;6;0,00685;0,89;0,8132
Buda;Justa;50;2;3,0200;22;51;22;24684;4523;20161;0,1832;20073;2985;14579;6;0,00728;0,16;0,8132
Buda;Justa;50;3;3,0200;22;51;22;24684;4523;20161;0,1832;20073;2985;14579;6;0,00660;0,19;0,8132
Buda;Justa;50;4;3,0200;22;51;22;24684;4523;20161;0,1832;20073;2985;14579;6;0,00692;0,16;0,8132
Buda;Justa;50;5;3,0200;22;51;22;24684;4523;20161;0,1832;20073;2985;14579;6;0,00801;0,14;0,8132
Buda;Justa;50;6;3,0200;22;51;22;24684;4523;20161;0,1832;20073;2985;14579;6;0,00643;0,01;0,8132
Buda;Justa;50;7;3,0200;22;51;22;24684;4523;20161;0,1832;20073;2985;14579;6;0,00715;0,00;0,8132
Buda;Justa;50;8;3,0200;22;51;22;24684;4523;20161;0,1832;20073;2985;14579;6;0,00629;0,00;0,8132
Buda;Justa;50;9;3,0200;22;51;22;24684;4523;20161;0,1832;20073;2985;14579;6;0,00652;0,00;0,8132
Buda;Justa;50;10;3,0200;22;51;22;24684;4523;20161;0,1832;20073;2985;14579;6;0,00701;0,00;0,8132
Buda;Justa;100;1;1,5100;42;101;42;178164;18535;159629;0,1040;82193;12210;59709;7;0,03143;5,33;0,4613
Buda;Justa;100;2;1,5100;42;101;42;178164;18535;159629;0,1040;82193;12210;59709;7;0,02876;0,11;0,4613
Buda;Justa;100;3;1,5100;42;101;42;178164;18535;159629;0,1040;82193;12210;59709;7;0,02752;0,05;0,4613
Buda;Justa;100;4;1,5100;42;101;42;178164;18535;159629;0,1040;82193;12210;59709;7;0,02849;0,06;0,4613
Buda;Justa;100;5;1,5100;42;101;42;178164;18535;159629;0,1040;82193;12210;59709;7;0,02760;0,00;0,4613
Buda;Justa;100;6;1,5100;42;101;42;178164;18535;159629;0,1040;82193;12210;59709;7;0,02964;0,14;0,4613
Buda;Justa;100;7;1,5100;42;101;42;178164;18535;159629;0,1040;82193;12210;59709;7;0,02686;0,01;0,4613
Buda;Justa;100;8;1,5100;42;101;42;178164;18535;159629;0,1040;82193;12210;59709;7;0,02841;0,00;0,4613
Buda;Justa;100;9;1,5100;42;101;42;178164;18535;159629;0,1040;82193;12210;59709;7;0,02853;0,00;0,4613
Buda;Justa;100;10;1,5100;42;101;42;178164;18535;159629;0,1040;82193;12210;59709;7;0,02694;0,00;0,4613
Buda;Justa;200;1;0,7550;84;201;83;1401372;74758;1326614;0,0533;383937;50830;285115;8;0,13585;21,77;0,2740
Buda;Justa;200;2;0,7550;84;201;83;1401372;74758;1326614;0,0533;383937;50830;285115;8;0,12419;0,15;0,2740
Buda;Justa;200;3;0,7550;84;201;83;1401372;74758;1326614;0,0533;383937;50830;285115;8;0,12290;0,22;0,2740
Buda;Justa;200;4;0,7550;84;201;83;1401372;74758;1326614;0,0533;383937;50830;285115;8;0,12331;0,16;0,2740
Buda;Justa;200;5;0,7550;84;201;83;1401372;74758;1326614;0,0533;383937;50830;285115;8;0,12304;0,01;0,2740
Buda;Justa;200;6;0,7550;84;201;83;1401372;74758;1326614;0,0533;383937;50830;285115;8;0,12278;0,13;0,2740
Buda;Justa;200;7;0,7550;84;201;83;1401372;74758;1326614;0,0533;383937;50830;285115;8;0,12467;0,38;0,2740
Buda;Justa;200;8;0,7550;84;201;83;1401372;74758;1326614;0,0533;383937;50830;285115;8;0,13539;-0,01;0,2740
Buda;Justa;200;9;0,7550;84;201;83;1401372;74758;1326614;0,0533;383937;50830;285115;8;0,83628;0,00;0,2740
Buda;Justa;200;10;0,7550;84;201;83;1401372;74758;1326614;0,0533;383937;50830;285115;8;1,18931;0,00;0,2740
Buda;Justa;400;1;0,3775;165;401;166;10983390;298866;10684524;0,0272;1644321;205720;1233061;9;0,56635;90,58;0,1497
Buda;Justa;400;2;0,3775;165;401;166;10983390;298866;10684524;0,0272;1644321;205720;1233061;9;0,54949;55,72;0,1497
Buda;Justa;400;3;0,3775;165;401;166;10983390;298866;10684524;0,0272;1644321;205720;1233061;9;0,54696;51,24;0,1497
Buda;Justa;400;4;0,3775;165;401;166;10983390;298866;10684524;0,0272;1644321;205720;1233061;9;2,33562;49,76;0,1497
Buda;Justa;400;5;0,3775;165;401;166;10983390;298866;10684524;0,0272;1644321;205720;1233061;9;0,65385;50,79;0,1497
Buda;Justa;400;6;0,3775;165;401;166;10983390;298866;10684524;0,0272;1644321;205720;1233061;9;0,65407;45,91;0,1497
Buda;Justa;400;7;0,3775;165;401;166;10983390;298866;10684524;0,0272;1644321;205720;1233061;9;2,62224;46,84;0,1497
Buda;Justa;400;8;0,3775;165;401;166;10983390;298866;10684524;0,0272;1644321;205720;1233061;9;0,54682;43,41;0,1497
Buda;Justa;400;9;0,3775;165;401;166;10983390;298866;10684524;0,0272;1644321;205720;1233061;9;0,57585;118,71;0,1497
Buda;Justa;400;10;0,3775;165;401;166;10983390;298866;10684524;0,0272;1644321;205720;1233061;9;2,62106;38,69;0,1497
Buda;Cubica;25;1;6,0400;25;25;25;15625;1043;14582;0,0668;3409;817;2166;5;0,00135;0,00;0,2182
Buda;Cubica;25;2;6,0400;25;25;25;15625;1043;14582;0,0668;3409;817;2166;5;0,00132;0,00;0,2182
Buda;Cubica;25;3;6,0400;25;25;25;15625;1043;14582;0,0668;3409;817;2166;5;0,00138;0,00;0,2182
Buda;Cubica;25;4;6,0400;25;25;25;15625;1043;14582;0,0668;3409;817;2166;5;0,00122;0,00;0,2182
Buda;Cubica;25;5;6,0400;25;25;25;15625;1043;14582;0,0668;3409;817;2166;5;0,00116;0,00;0,2182
Buda;Cubica;25;6;6,0400;25;25;25;15625;1043;14582;0,0668;3409;817;2166;5;0,00115;0,00;0,2182
Buda;Cubica;25;7;6,0400;25;25;25;15625;1043;14582;0,0668;3409;817;2166;5;0,00117;0,00;0,2182
Buda;Cubica;25;8;6,0400;25;25;25;15625;1043;14582;0,0668;3409;817;2166;5;0,00115;0,00;0,2182
Buda;Cubica;25;9;6,0400;25;25;25;15625;1043;14582;0,0668;3409;817;2166;5;0,00130;0,00;0,2182
Buda;Cubica;25;10;6,0400;25;25;25;15625;1043;14582;0,0668;3409;817;2166;5;0,00165;0,00;0,2182
Buda;Cubica;50;1;3,0200;50;50;50;125000;4516;120484;0,0361;13977;3465;8765;6;0,00498;0,02;0,1118
Buda;Cubica;50;2;3,0200;50;50;50;125000;4516;120484;0,0361;13977;3465;8765;6;0,00617;0,00;0,1118
Buda;Cubica;50;3;3,0200;50;50;50;125000;4516;120484;0,0361;13977;3465;8765;6;0,00495;0,00;0,1118
Buda;Cubica;50;4;3,0200;50;50;50;125000;4516;120484;0,0361;13977;3465;8765;6;0,00640;0,00;0,1118
Buda;Cubica;50;5;3,0200;50;50;50;125000;4516;120484;0,0361;13977;3465;8765;6;0,00513;0,00;0,1118
Buda;Cubica;50;6;3,0200;50;50;50;125000;4516;120484;0,0361;13977;3465;8765;6;0,00624;0,00;0,1118
Buda;Cubica;50;7;3,0200;50;50;50;125000;4516;120484;0,0361;13977;3465;8765;6;0,00488;0,00;0,1118
Buda;Cubica;50;8;3,0200;50;50;50;125000;4516;120484;0,0361;13977;3465;8765;6;0,00506;0,00;0,1118
Buda;Cubica;50;9;3,0200;50;50;50;125000;4516;120484;0,0361;13977;3465;8765;6;0,00496;0,00;0,1118
Buda;Cubica;50;10;3,0200;50;50;50;125000;4516;120484;0,0361;13977;3465;8765;6;0,00495;0,00;0,1118
Buda;Cubica;100;1;1,5100;100;100;100;1000000;18437;981563;0,0184;57409;14294;35939;7;0,02432;0,09;0,0574
Buda;Cubica;100;2;1,5100;100;100;100;1000000;18437;981563;0,0184;57409;14294;35939;7;0,02575;0,03;0,0574
Buda;Cubica;100;3;1,5100;100;100;100;1000000;18437;981563;0,0184;57409;14294;35939;7;0,02143;0,00;0,0574
Buda;Cubica;100;4;1,5100;100;100;100;1000000;18437;981563;0,0184;57409;14294;35939;7;0,02170;0,00;0,0574
Buda;Cubica;100;5;1,5100;100;100;100;1000000;18437;981563;0,0184;57409;14294;35939;7;0,02131;0,00;0,0574
Buda;Cubica;100;6;1,5100;100;100;100;1000000;18437;981563;0,0184;57409;14294;35939;7;0,02219;-0,00;0,0574
Buda;Cubica;100;7;1,5100;100;100;100;1000000;18437;981563;0,0184;57409;14294;35939;7;0,02276;0,01;0,0574
Buda;Cubica;100;8;1,5100;100;100;100;1000000;18437;981563;0,0184;57409;14294;35939;7;0,02135;0,00;0,0574
Buda;Cubica;100;9;1,5100;100;100;100;1000000;18437;981563;0,0184;57409;14294;35939;7;0,02318;0,00;0,0574
Buda;Cubica;100;10;1,5100;100;100;100;1000000;18437;981563;0,0184;57409;14294;35939;7;0,02551;0,01;0,0574
Buda;Cubica;200;1;0,7550;200;200;200;8000000;74611;7925389;0,0093;257961;62025;163691;8;0,09462;0,02;0,0322
Buda;Cubica;200;2;0,7550;200;200;200;8000000;74611;7925389;0,0093;257961;62025;163691;8;0,11243;0,02;0,0322
Buda;Cubica;200;3;0,7550;200;200;200;8000000;74611;7925389;0,0093;257961;62025;163691;8;0,09330;0,05;0,0322
Buda;Cubica;200;4;0,7550;200;200;200;8000000;74611;7925389;0,0093;257961;62025;163691;8;0,11283;0,00;0,0322
Buda;Cubica;200;5;0,7550;200;200;200;8000000;74611;7925389;0,0093;257961;62025;163691;8;0,92181;0,00;0,0322
Buda;Cubica;200;6;0,7550;200;200;200;8000000;74611;7925389;0,0093;257961;62025;163691;8;0,09384;0,00;0,0322
Buda;Cubica;200;7;0,7550;200;200;200;8000000;74611;7925389;0,0093;257961;62025;163691;8;0,09430;0,04;0,0322
Buda;Cubica;200;8;0,7550;200;200;200;8000000;74611;7925389;0,0093;257961;62025;163691;8;0,10765;0,06;0,0322
Buda;Cubica;200;9;0,7550;200;200;200;8000000;74611;7925389;0,0093;257961;62025;163691;8;0,09224;-0,00;0,0322
Buda;Cubica;200;10;0,7550;200;200;200;8000000;74611;7925389;0,0093;257961;62025;163691;8;0,09275;0,00;0,0322
Buda;Cubica;400;1;0,3775;400;400;400;64000000;298864;63701136;0,0047;1077633;253573;689356;9;0,39686;0,61;0,0168
Buda;Cubica;400;2;0,3775;400;400;400;64000000;298864;63701136;0,0047;1077633;253573;689356;9;0,72107;0,03;0,0168
Buda;Cubica;400;3;0,3775;400;400;400;64000000;298864;63701136;0,0047;1077633;253573;689356;9;0,44063;0,11;0,0168
Buda;Cubica;400;4;0,3775;400;400;400;64000000;298864;63701136;0,0047;1077633;253573;689356;9;3,25635;0,02;0,0168
Buda;Cubica;400;5;0,3775;400;400;400;64000000;298864;63701136;0,0047;1077633;253573;689356;9;0,45679;0,08;0,0168
Buda;Cubica;400;6;0,3775;400;400;400;64000000;298864;63701136;0,0047;1077633;253573;689356;9;0,46937;0,00;0,0168
Buda;Cubica;400;7;0,3775;400;400;400;64000000;298864;63701136;0,0047;1077633;253573;689356;9;0,39609;-0,00;0,0168
Buda;Cubica;400;8;0,3775;400;400;400;64000000;298864;63701136;0,0047;1077633;253573;689356;9;0,39479;0,03;0,0168
Buda;Cubica;400;9;0,3775;400;400;400;64000000;298864;63701136;0,0047;1077633;253573;689356;9;3,51119;0,02;0,0168
Buda;Cubica;400;10;0,3775;400;400;400;64000000;298864;63701136;0,0047;1077633;253573;689356;9;0,39041;0,02;0,0168
